"project_id","dev_mode","rely","data","cplx","time","stor","virt","turn","acap","aexp","pcap","vexp","lexp","modp","tool","sced","loc","actual","time_factor","rely_factor","data_factor","cplx_factor","stor_factor","virt_factor","turn_factor","acap_factor","aexp_factor","pcap_factor","vexp_factor","lexp_factor","modp_factor","tool_factor","sced_factor","dev_mode_factor","actual_log","loc_log","actual_ln","loc_ln"
13,"embedded",1.15,0.94,1.3,1.11,1.06,1.15,1,0.71,1,0.7,1.1,1,0.82,1,1,25,79,3,4,1,6,2,3,3,1,3,1,3,2,1,3,1,3,1.89762709129044,1.39794000867204,4.36944785246702,3.2188758248682
14,"organic",1.15,0.94,1.65,1.3,1.56,1.15,1,0.86,1,0.7,1.1,1.07,1.1,1.24,1.23,3,73,4,4,1,6,5,3,3,2,3,1,3,3,4,5,4,1,1.86332286012046,0.477121254719662,4.29045944114839,1.09861228866811
15,"embedded",1.4,0.94,1.3,1.3,1.06,1.15,0.87,0.86,1.13,0.86,1.21,1.14,0.91,1,1.23,3.9,61,4,5,1,6,2,3,1,2,4,2,4,4,2,3,4,3,1.78532983501077,0.591064607026499,4.11087386417331,1.3609765531356
16,"embedded",1.4,1,1.3,1.3,1.56,1,0.87,0.86,1,0.86,1,1,1,1,1,6.1,40,4,5,2,6,5,2,1,2,3,2,2,2,3,3,1,3,1.60205999132796,0.785329835010767,3.68887945411394,1.80828877117927
17,"embedded",1.4,1,1.3,1.3,1.56,1,0.87,0.86,0.82,0.86,1,1,1,1,1,3.6,9,4,5,2,6,5,2,1,2,1,2,2,2,3,3,1,3,0.954242509439325,0.556302500767287,2.19722457733622,1.28093384546206
18,"embedded",1.15,1.16,1.15,1.3,1.21,1,1.07,0.86,1,1,1,1,1.24,1.1,1.08,320,11400,4,4,5,5,4,2,4,2,3,3,2,2,5,4,3,3,4.05690485133647,2.50514997831991,9.34136863438259,5.76832099579377
19,"embedded",1.15,1.08,1,1.11,1.21,0.87,0.94,0.71,0.91,1,1,1,0.91,0.91,1,1150,6600,3,4,4,3,4,1,2,1,2,3,2,2,2,2,1,3,3.81954393554187,3.06069784035361,8.79482492801452,7.0475172213573
20,"semidetached",1.4,1.08,1.3,1.11,1.21,1.15,1.07,0.71,0.82,1.08,1.1,1.07,1.24,1,1.08,299,6400,3,5,4,6,4,3,4,1,1,4,3,3,5,3,3,2,3.80617997398389,2.47567118832443,8.76405326934776,5.70044357339069
21,"embedded",1,1.16,1.15,1.06,1.14,0.87,0.87,0.86,1,1,1,1,0.91,0.91,1,252,2455,2,3,5,5,3,1,1,2,3,3,2,2,2,2,1,3,3.39005149645899,2.40140054078154,7.80588204022862,5.52942908751142
22,"embedded",1.15,1,1,1.27,1.06,1,1,0.86,0.82,0.86,0.9,1,0.91,1,1.23,118,724,4,4,2,3,2,2,3,2,1,2,1,2,2,3,4,3,2.85973856619715,2.07188200730613,6.58479139238572,4.77068462446567
23,"embedded",1.15,1,1,1.08,1.06,1,1,0.86,0.82,0.86,0.9,1,1,1,1.23,77,539,2,4,2,3,2,2,3,2,1,2,1,2,3,3,4,3,2.73158876518674,1.88649072517248,6.289715570909,4.34380542185368
24,"semidetached",0.88,1,0.85,1.06,1.06,1,0.87,1,1.29,1,1.1,0.95,0.82,0.83,1,90,453,2,2,2,2,2,2,1,3,5,3,3,1,1,1,1,2,2.65609820201283,1.95424250943932,6.11589212548303,4.49980967033027
25,"embedded",1.15,1.16,1.3,1.15,1.06,1,0.87,0.86,1,0.86,1.1,1,0.82,0.91,1.08,38,523,3,4,5,6,2,2,1,2,3,2,3,2,1,2,3,3,2.71850168886727,1.57978359661681,6.25958146406492,3.63758615972639
26,"embedded",0.94,1,0.85,1.07,1.06,1.15,1.07,0.86,1,0.86,1.1,1,0.91,1.1,1.08,48,387,2,2,2,2,2,3,4,2,3,2,3,2,2,4,3,3,2.58771096501891,1.68124123737559,5.95842469302978,3.87120101090789
27,"embedded",1.15,0.94,1.15,1.35,1.21,1,0.87,1,1,1,1,1,0.82,1.1,1.08,9.4,88,4,4,1,5,4,2,1,3,3,3,2,2,1,4,3,3,1.94448267215017,0.973127853599699,4.47733681447821,2.24070968927596
28,"organic",1.15,1.08,1.3,1.11,1.21,1.15,1.07,0.86,1,0.86,1.1,1.07,1.1,1.1,1,13,98,3,4,4,6,4,3,4,2,3,2,3,3,4,4,1,1,1.99122607569249,1.11394335230684,4.58496747867057,2.56494935746154
29,"semidetached",0.88,1,1,1,1,1,1,1.1,1.29,0.86,1,1,0.91,0.91,1.23,2.14,7.3,1,2,2,3,1,2,3,4,5,2,2,2,2,2,4,2,0.863322860120456,0.330413773349191,1.98787434815435,0.76080582903376
30,"semidetached",0.88,1,1,1,1,1,1,1,1.29,0.86,1,1,0.91,0.91,1.23,1.98,5.9,1,2,2,3,1,2,3,3,5,2,2,2,2,2,4,2,0.770852011642144,0.296665190261531,1.77495235091167,0.683096844706444
31,"embedded",1.4,1.08,1,1.48,1.56,1.15,1.07,0.86,0.82,0.86,1.1,1.07,1,1,1,62,1063,5,5,4,3,5,3,4,2,1,2,3,3,3,3,1,3,3.0265332645233,1.79239168949825,6.96885037834195,4.12713438504509
32,"semidetached",0.88,1.08,0.85,1,1,1,1,0.71,0.82,1,1,1,1.1,1.1,1,390,702,1,2,4,2,1,2,3,1,1,3,2,2,4,4,1,2,2.84633711212981,2.5910646070265,6.55393340402581,5.96614673912369
33,"embedded",1.4,1.08,1.3,1.48,1.56,1.15,0.94,0.86,0.82,0.86,0.9,1,0.91,0.91,1,42,605,5,5,4,6,5,3,2,2,1,2,1,2,2,2,1,3,2.78175537465247,1.6232492903979,6.40522845803084,3.73766961828337
34,"embedded",1.15,1.08,1,1.06,1,1,0.87,1,1,1,1,1,0.91,1.1,1.23,23,230,2,4,4,3,1,2,1,3,3,3,2,2,2,4,4,3,2.36172783601759,1.36172783601759,5.4380793089232,3.13549421592915
35,"embedded",0.75,0.94,1.3,1.06,1.21,1.15,1,1,0.91,1,1.1,1,1.24,1.24,1,13,82,2,1,1,6,4,3,3,3,2,3,3,2,5,5,1,3,1.91381385238372,1.11394335230684,4.40671924726425,2.56494935746154
36,"semidetached",0.88,1.08,0.85,1,1,0.87,0.87,1.19,1,1.17,0.9,0.95,1,0.91,1.04,15,55,1,2,4,2,1,1,1,4,3,4,1,1,3,2,2,2,1.74036268949424,1.17609125905568,4.00733318523247,2.70805020110221
37,"organic",0.88,0.94,0.7,1,1.06,1,1,0.86,0.82,0.86,1,1,1,1,1,60,47,1,2,1,1,2,2,3,2,1,2,2,2,3,3,1,1,1.67209785793572,1.77815125038364,3.85014760171006,4.0943445622221
38,"organic",1,1,1.15,1,1,0.87,0.87,0.71,0.91,1,0.9,0.95,0.82,0.91,1,15,12,1,3,2,5,1,1,1,1,2,3,1,1,1,2,1,1,1.07918124604762,1.17609125905568,2.484906649788,2.70805020110221
39,"organic",1,1,1.15,1,1,0.87,1,0.71,0.82,0.7,1,0.95,0.91,1.1,1,6.2,8,1,3,2,5,1,1,3,1,1,1,2,1,2,4,1,1,0.903089986991944,0.792391689498254,2.07944154167984,1.82454929205105
40,"organic",1,0.94,1.3,1,1,1,0.87,0.86,0.82,1.17,1,1,1.1,1,1,3,8,1,3,1,6,1,2,1,2,1,4,2,2,4,3,1,1,0.903089986991944,0.477121254719662,2.07944154167984,1.09861228866811
41,"organic",0.88,0.94,1,1,1,0.87,0.87,1,0.82,0.7,0.9,0.95,0.91,0.91,1,5.3,6,1,2,1,3,1,1,1,3,1,1,1,1,2,2,1,1,0.778151250383644,0.724275869600789,1.79175946922805,1.66770682055808
42,"organic",0.88,1.04,1.07,1,1.06,0.87,1.07,0.86,1,0.93,0.9,0.95,0.95,0.95,1.04,45.5,45,1,2,3,4,2,1,4,2,3,2,1,1,2,2,2,1,1.65321251377534,1.65801139665711,3.80666248977032,3.8177123259569
43,"organic",1,1.04,1.07,1,1.21,0.87,1.07,0.86,1,1,0.9,0.95,1,1,1.04,28.6,83,1,3,3,4,4,1,4,2,3,3,1,1,3,3,2,1,1.91907809237607,1.45636603312904,4.4188406077966,3.35340671782581
44,"organic",0.88,1.04,1.07,1.06,1.21,0.87,1.07,1,1,1,0.9,0.95,1.1,1,1.04,30.6,87,2,2,3,4,4,1,4,3,3,3,1,1,4,3,2,1,1.93951925261862,1.48572142648158,4.46590811865458,3.42100000895834
45,"organic",0.88,1.04,1.07,1,1.06,0.87,1.07,1,1,1,0.9,0.95,1,0.95,1.04,35,106,1,2,3,4,2,1,4,3,3,3,1,1,3,2,2,1,2.02530586526477,1.54406804435028,4.66343909411207,3.55534806148941
46,"organic",0.88,1.04,1.07,1,1.06,0.87,1.07,1,1,0.86,0.9,0.95,1,1,1.04,73,126,1,2,3,4,2,1,4,3,3,2,1,1,3,3,2,1,2.10037054511756,1.86332286012046,4.83628190695148,4.29045944114839
47,"organic",0.75,0.94,1.3,1,1,0.87,0.87,0.71,0.82,0.7,1.1,1.07,1.1,1,1.04,23,36,1,1,1,6,1,1,1,1,1,1,3,3,4,3,2,1,1.55630250076729,1.36172783601759,3.58351893845611,3.13549421592915
48,"semidetached",0.88,0.94,0.85,1,1,0.87,1,1.19,0.91,1.17,0.9,0.95,1.1,1,1.04,464,1272,1,2,1,2,1,1,3,4,2,4,1,1,4,3,2,2,3.1044871113124,2.66651798055488,7.14834574390007,6.13988455222626
49,"semidetached",1,1,0.85,1,1,1,0.87,0.71,1,0.7,1.1,1,0.82,0.91,1,91,156,1,3,2,2,1,2,1,1,3,1,3,2,1,2,1,2,2.19312459835446,1.95904139232109,5.04985600724954,4.51085950651685
50,"embedded",1.15,1,1,1.3,1.21,1,0.87,0.86,1,0.86,1.1,1,1,1,1,24,176,4,4,2,3,4,2,1,2,3,2,3,2,3,3,1,3,2.24551266781415,1.38021124171161,5.17048399503815,3.17805383034795
51,"organic",0.88,1,1,1,1,1,1.15,1.19,1,1.42,1,0.95,1.24,1.1,1.04,10,122,1,2,2,3,1,2,5,4,3,4,2,1,5,4,2,1,2.08635983067475,1,4.80402104473326,2.30258509299405
52,"organic",0.88,0.94,0.85,1,1.06,1.15,1,1,1,1,1.1,1.07,1.24,1.1,1,8.2,41,1,2,1,2,2,3,3,3,3,3,3,3,5,4,1,1,1.61278385671974,0.913813852383717,3.71357206670431,2.10413415427021
53,"semidetached",0.88,0.94,1.15,1.11,1.21,1.3,1,0.71,1,0.7,1.1,1.07,1,1.1,1.08,5.3,14,3,2,1,5,4,4,3,1,3,1,3,3,3,4,3,2,1.14612803567824,0.724275869600789,2.63905732961526,1.66770682055808
54,"organic",1,0.94,1,1,1.06,1.15,0.87,1,0.82,1,1,0.95,0.91,1.1,1,4.4,20,1,3,1,3,2,3,1,3,1,3,2,1,2,4,1,1,1.30102999566398,0.643452676486187,2.99573227355399,1.48160454092422
55,"organic",0.88,0.94,0.7,1,1,0.87,0.87,0.86,0.82,1.17,0.9,0.95,1.1,1,1,6.3,18,1,2,1,1,1,1,1,2,1,4,1,1,4,3,1,1,1.25527250510331,0.799340549453582,2.89037175789616,1.84054963339749
56,"embedded",1.15,0.94,1.3,1.3,1.21,1,1,0.86,0.91,1,1.1,1.07,1.1,1.1,1.08,27,958,4,4,1,6,4,2,3,2,2,3,3,3,4,4,3,3,2.98136550907854,1.43136376415899,6.86484777797086,3.29583686600433
57,"embedded",1,0.94,1.15,1.11,1.21,1.3,1,1,1,1,1.1,1.07,1.1,1.1,1.23,17,237,3,3,1,5,4,4,3,3,3,3,3,3,4,4,4,3,2.3747483460101,1.23044892137827,5.46806014113513,2.83321334405622
58,"embedded",1.4,0.94,1.3,1.66,1.21,1,1,0.71,0.82,0.7,0.9,0.95,0.91,1,1,25,130,5,5,1,6,4,2,3,1,1,1,1,1,2,3,1,3,2.11394335230684,1.39794000867204,4.86753445045558,3.2188758248682
59,"organic",1,0.94,1.15,1.06,1.06,1,0.87,1,1,1,1,1,0.91,1,1,23,70,2,3,1,5,2,2,1,3,3,3,2,2,2,3,1,1,1.84509804001426,1.36172783601759,4.24849524204936,3.13549421592915
60,"organic",1.15,0.94,1.3,1.11,1.06,1,1,0.86,1.13,0.86,1.1,1.07,1.1,1.1,1.08,6.7,57,3,4,1,6,2,2,3,2,4,2,3,3,4,4,3,1,1.75587485567249,0.826074802700826,4.04305126783455,1.90210752639692
61,"organic",1,0.94,1.15,1,1,0.87,0.87,0.86,1,0.86,0.9,1,0.82,1,1,28,50,1,3,1,5,1,1,1,2,3,2,1,2,1,3,1,1,1.69897000433602,1.44715803134222,3.91202300542815,3.3322045101752
62,"semidetached",0.88,0.94,1.3,1.11,1.21,1.15,1,0.78,0.82,0.7,1.21,1.14,0.91,1.24,1,9.1,38,3,2,1,6,4,3,3,2,1,1,4,4,2,5,1,2,1.57978359661681,0.959041392321094,3.63758615972639,2.2082744135228
63,"embedded",1,0.94,1.15,1,1,1,0.87,0.71,0.82,0.86,1,1,0.82,1,1,10,15,1,3,1,5,1,2,1,1,1,2,2,2,1,3,1,3,1.17609125905568,1,2.70805020110221,2.30258509299405
