RecordNumber,Unusual Flag,Nasa60?,ProjectID,PARENT,ELEMENT,Category,F or G,Center,Start Year,Language,New KLOC,Reused KLOC,Modified KLOC,Logical EKLOC,ACT_EFFORT,Model,prec,flex,resl,team,pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,sced,site,docu,Start Date,End Date,Delivered Logical KLOC,Physical Delivered KLOC,Ported KLOC,%DM,%CM,%IM,Actual Schedule,productivity per day,Physical EKLOC
25,0,1,D,CMS,Load Generation,Monitor & control,G,2,1986,Fortran,34.2,0,0,34.2,210,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1.17,1,1,1,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,10/21/86,1/29/88,34.2,38,0,0,0,0,0,8.142857143,38
26,0,1,D,CMS,Operator Control,Monitor & control,G,2,1986,Fortran,9,0,0,9,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1,1,1,1,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,10/21/86,1/29/88,9,10,0,0,0,0,0,9.375,10
27,0,1,D,DCF,Data Grouping,Data Processing,G,2,1982,Fortran,2.52,2.16,15.84,13.86,70,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,20.52,22.8,0,0,0,0,0,9.9,15.4
28,0,1,D,DCF,Input,Data Processing,G,2,1982,Fortran,18.36,9.27,33.84,43.65,239,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,61.47,68.3,0,0,0,0,0,9.131799163,48.5
29,0,1,D,DCF,Mass Storage,Data Processing,G,2,1982,Fortran,2.88,11.52,13.14,14.67,82,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,27.54,30.6,0,0,0,0,0,8.945121951,16.3
30,0,1,D,DCF,Operator/Communication,Communications,G,2,1982,Fortran,1.17,13.14,10.44,11.52,62,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,24.75,27.5,0,0,0,0,0,9.290322581,12.8
31,0,1,D,DCF,Output,Data Processing,G,2,1982,Fortran,23.49,0,8.55,29.34,170,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,32.04,35.6,0,0,0,0,0,8.629411765,32.6
32,0,1,D,DCF,Utility,Data Capture,G,2,1982,Fortran,18.36,29.79,9,31.95,192,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,57.15,63.5,0,0,0,0,0,8.3203125,35.5
33,0,1,D,Flight Dynamics,Mission Design,Mission Planning,G,2,1985,"45% comments, fortran?",9,171,0,4.95,18,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,7/1/85,1/1/86,180,200,0,0,0,0,0,13.75,5.5
34,0,1,D,Flight Dynamics,Orbit Determination,Avionics Monitoring,G,2,1987,"35% comments, fortran?",14.4,705.6,0,9.36,50,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,6/1/87,12/20/87,720,800,0,0,0,0,0,9.36,10.4
35,0,1,D,Flight Dynamics,OMS,Avionics Monitoring,G,2,1987,"30% comments, fortran?",18,72,0,12.6,60,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,6/1/87,12/20/87,90,100,0,0,0,0,0,10.5,14
36,0,1,D,POC,Command,Monitor & control,G,2,1986,Fortran,5.4,1.8,0,5.85,42,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1.17,1,1,1,1,1,1,1,1,1,1,1,1.17,1,0.93,1,10/21/86,1/29/88,7.2,8,0,0,0,0,0,6.964285714,6.5
37,0,1,D,POC,Display,Monitor & control,G,2,1986,Fortran,8.1,13.5,0,11.7,60,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,1,1,1,1,1,1,1,1,1,1,1,1.17,1,0.93,1,10/21/86,1/29/88,21.6,24,0,0,0,0,0,9.75,13
38,0,1,D,POC,MAE,Monitor & control,G,2,1986,Fortran,81,0,0,81,444,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1,1,1,1,1,1,0.88,1,1,1,0.91,1.09,1,0.93,1,10/21/86,1/29/88,81,90,0,0,0,0,0,9.121621622,90
39,0,1,D,POC,Special Processing,Monitor & control,G,2,1986,Fortran,7.2,0,0,7.2,42,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,1,1,1,1,1,1,1,1,1,1,1,1.17,1,0.93,1,10/21/86,1/29/88,7.2,8,0,0,0,0,0,8.571428571,8
40,0,1,D,POC,Telemetry,Monitor & control,G,2,1986,Fortran,14.4,0,0,14.4,114,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,1,1,1.11,1,1,1,1,1,1,1,1,1.17,1,0.93,1,10/21/86,1/29/88,14.4,16,0,0,0,0,0,6.315789474,16
41,0,1,E,Ground S/W,DCF,Data Capture,G,2,1980,"fortran(58%),37%assembly, 5%JCL",150.57,6.03,16.11,160.11,1248,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.14,1,1.29,1.05,0.87,0.85,0.88,1,1,1.09,0.91,1.17,1.14,0.93,1,10/1/80,9/1/84,172.71,191.9,0,0,0,0,0,6.414663462,177.9
42,0,1,F,CTD,TAP,launch processing,G,6,1975,assembly,302,0,0,302,2400,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,0.88,1,1,1,1,1.17,1,0.93,1,12/1/75,12/1/77,302,302,0,0,0,0,0,6.291666667,302
43,0,1,G,FRR,MAR,Application_Ground,G,5,1982,"PL1, Fortran, Assembly",211.575,0,0,211.65,1368,cocomoII,2.48,2.03,2.83,1.1,4.68,1,0.87,1.14,1,1,1,1.15,0.85,1,1,0.88,1,1,1.09,1,0.93,1,7/15/82,2/6/86,211.575,282.1,0,0,0,0,0,7.735745614,282.1
44,0,1,G,FRR,STA,Application_Ground,G,5,1982,"PL1, ADF, IMS",215.775,0,0,215.775,973,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,0.87,1.14,1,1,1,1,0.85,1,1,0.88,1,1,1.17,1,0.93,1,7/15/82,2/6/86,215.775,287.7,0,0,0,0,0,11.0881295,284.7
45,0,1,G,M F,RDC,Avionics Monitoring,G,5,1982,"ADF, PL1, COBOL, IMS, Assem.",59.25,0,0,59.25,400,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1,1.14,1,1,1,0.87,1,0.88,1,0.88,1,0.91,1.17,1,0.93,1,1/1/82,8/1/83,59.25,79,0,0,0,0,0,7.40625,79
46,0,1,G,M F,T+T,Avionics Monitoring,G,5,1977,"Fortran VII, Assembly, , P/C Macro",380.7,0,0,380.7,2400,cocomoII,2.48,2.03,2.83,1.1,7.8,0.92,1,1,1,1,1,0.87,0.85,0.76,1,0.88,1,0.91,1.17,1,0.93,1,1/1/77,12/31/81,380.7,423,0,0,0,0,0,7.93125,423
47,0,1,G,SFP,CAPS-1,Mission Planning,G,5,1977,Fortran (Harris 24 bit),171,0,0,171,420,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1,1,1,1,1,0.87,0.85,0.76,1,0.81,1.09,0.91,1.17,1,0.93,1,6/15/77,6/15/82,171,190,0,0,0,0,0,20.35714286,190
48,0,1,G,SFP,CAPS-2,Mission Planning,G,5,1984,Fortran(vaxs 32 bit),18,99,0,42.75,252,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1,1,1,1.05,1,0.85,1,1,0.88,1,0.91,1.17,1,0.93,1,7/15/84,6/15/86,117,130,0,0,0,0,0,8.482142857,47.5
49,0,1,G,SFP,RMS,Mission Planning,G,5,1980,fortran,18.9,0,0,18.9,107,cocomoII,2.48,2.03,2.83,1.1,7.8,1.26,1.74,1,1,1.11,1.05,0.87,1,1,1,0.88,1,1,1.09,1,0.93,1,4/14/80,3/15/84,18.9,21,0,0,0,0,0,8.831775701,21
50,0,1,G,SRS,CG,Simulation,G,5,1983,"Mostly Fortran, a bit Assembly",67.05,0,6.39,70.2,571.4,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1.14,1,1.29,1,1,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1,6/15/83,6/15/86,73.44,81.6,0,0,0,0,0,6.14280714,78
51,0,1,G,SRS,S51I,Simulation,G,5,1984,Fortran,8.28,0,3.96,10.26,98.8,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1.14,1,1.29,1,1,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1,11/15/84,8/27/85,12.24,13.6,0,0,0,0,0,5.192307692,11.4
52,0,1,G,SRS,S61E,Simulation,G,5,1985,Fortran,14.4,0,6.03,17.37,155,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1.14,1,1.29,1,1,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1,10/15/85,1/15/86,20.43,22.7,0,0,0,0,0,5.603225806,19.3
53,0,1,G,SVDS Complex,POSTPROCESSORS,Mission Planning,G,5,1979,fortran,90.9,0,0,90.9,750,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.34,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1,1,0.93,1,6/15/79,6/15/85,90.9,101,0,0,0,0,0,6.06,101
54,0,1,G,SVDS Complex,SVDS,Mission Planning,G,5,1979,fortran,197.1,0,0,197.1,2120,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1,1,1.11,1.05,0.87,1,1,1,0.88,1,1,1,1,0.93,1,6/15/79,6/15/85,197.1,219,0,0,0,0,0,4.648584906,219
55,0,1,G,SVDS Complex,TOOLS,Utility,G,5,1979,fortran,45,0,0,45,370,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1,1,1.11,1.05,0.87,1,1,1,0.88,1,1,1,1,0.93,1,6/15/79,6/15/85,45,50,0,0,0,0,0,6.081081081,50
56,0,1,H,DCF,SIP,Data Capture,G,2,1979,Fortran/assembly,63,0,0,204.3,1181,cocomoII,2.48,2.03,2.83,1.1,4.68,1.26,1.17,1.14,1,1.29,1.17,1,0.71,0.76,1,0.81,1,0.91,1.09,1.14,0.93,1,3/1/79,2/1/83,63,0,0,0,0,0,0,8.649449619,227
57,0,1,H,DCF,SOP,Data Processing,G,2,1977,Fortran,0.81,0,0,63,278,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.34,1.14,1,1,1,0.87,0.85,0.76,1,1,1.09,1,1.17,1.14,0.93,1,11/1/77,2/1/84,0.81,0,0,0,0,0,0,11.33093525,70
58,0,0,A,AGS,HRM,Avionics Monitoring,G,2,1979,100% Fortran,0.36,1.17,0.27,0.81,8.4,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,1.8,2,0,0,0,0,0,4.821428571,0.9
59,0,0,F,CSS,COS,Operating System,G,6,1974,assembly,980,0,0,980,4560,cocomoII,2.48,2.03,2.83,1.1,7.8,1.26,1.74,0.9,1,1.63,1.17,0.87,0.85,0.88,1,0.81,1.19,0.91,1.17,1,0.93,1,5/1/74,12/1/77,980,980,0,0,0,0,0,10.74561404,980
60,0,0,F,CDS,OS,Operating System,G,6,1975,Honeywell 66/80 Assembly,350,0,0,350,720,cocomoII,4.96,4.05,5.65,3.29,6.24,1,1.17,0.9,1,1,1,0.87,0.71,0.76,1,1,0.91,0.91,1.17,1,0.93,1.11,12/1/75,12/1/77,350,350,0,0,0,0,0,24.30555556,350
61,0,0,G,FDS-X,Executive,Operating System,G,5,1976,Fortran,63,0,0,63,458,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.74,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1.09,1,0.93,1.11,10/15/76,6/15/82,63,70,0,0,0,0,0,6.877729258,70
62,0,0,G,FDS-X,P&U,Utility,G,5,1979,fortran,243.9,0,0,243.9,2460,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.74,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1.09,1,0.93,1.11,6/15/79,6/15/82,243.9,271,0,0,0,0,0,4.957317073,271
63,0,0,G,MFS,Com,Avionics Monitoring,G,5,1971,Assembly,12,50,28,90,162,cocomoII,0,0,0,0,6.24,1,1,1,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/71,5/1/83,90,90,0,0,0,0,0,27.77777778,90
64,0,0,G,MFS,C&M,Avionics Monitoring,G,5,1980,Fortran IV-Plus,36,0,0,36,150,cocomoII,0,0,0,0,6.24,1,1,1,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/80,12/1/82,36,40,0,0,0,0,0,12,40
65,0,0,G,MFS,D&P,Avionics Monitoring,G,5,1979,"Assembly, Fortran, C",123.3,0,0,123.3,636,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.17,1,1,1.11,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,1/1/79,5/1/83,123.3,137,0,0,0,0,0,9.693396226,137
66,0,0,G,MFS,MCS,Avionics Monitoring,G,5,1977,Assembly,150,0,0,150,882,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.17,1,1,1.11,1,1.15,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,10/1/77,1/1/83,150,150,0,0,0,0,0,8.503401361,150
67,0,0,G,MFS,NIP,Avionics Monitoring,G,5,1976,Assembly,339,0,0,339,444,cocomoII,4.96,4.05,5.65,3.29,6.24,1.26,1.17,1,1,1.11,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,5/1/76,10/1/80,339,339,0,0,0,0,0,38.17567568,339
68,0,0,G,MFS,WS,Avionics Monitoring,G,5,1983,C,180,0,0,180,192,cocomoII,0,0,0,0,6.24,0.92,0.87,1.14,1,1,1,1.15,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/83,1/1/86,180,240,0,0,0,0,0,46.875,240
69,0,0,G,MMS,Command,Avionics Monitoring,G,5,1978,assembly,144,0,0,144,576,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/15/78,6/15/85,144,144,0,0,0,0,0,12.5,144
70,0,0,G,MMS,CSS/Control CTL),Avionics Monitoring,G,5,1979,assembly,151,0,0,151,432,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,6/15/85,151,151,0,0,0,0,0,17.47685185,151
71,0,0,G,MMS,HC,Avionics Monitoring,G,5,1979,assembly,34,0,0,34,72,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,6/15/79,1/15/85,34,34,0,0,0,0,0,23.61111111,34
72,0,0,G,MMS,NRT,Avionics Monitoring,G,5,1979,assembly,98,0,0,98,300,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,6/15/79,6/15/85,98,98,0,0,0,0,0,16.33333333,98
73,0,0,G,MMS,NC,Avionics Monitoring,G,5,1979,assembly,85,0,0,85,300,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,3/15/85,85,85,0,0,0,0,0,14.16666667,85
74,0,0,G,MMS,NSS,Avionics Monitoring,G,5,1982,assembly,20,0,0,20,240,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/82,3/15/85,20,20,0,0,0,0,0,4.166666667,20
75,0,0,G,MMS,SC,Avionics Monitoring,G,5,1978,assembly,111,0,0,111,600,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/15/78,6/15/85,111,111,0,0,0,0,0,9.25,111
76,0,0,G,MMS,Telemetry,Avionics Monitoring,G,5,1978,assembly,162,0,0,162,756,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1.28,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/18/78,12/15/85,162,162,0,0,0,0,0,10.71428571,162
77,0,0,G,MMS,Trajectory,Avionics Monitoring,G,5,1978,assembly,352,0,0,352,1200,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.34,1.14,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/18/78,12/15/85,352,352,0,0,0,0,0,14.66666667,352
78,0,0,G,MOS,OS,Operating System,G,5,1979,assembly,165,0,0,165,97,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.34,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,12/15/85,165,165,0,0,0,0,0,85.05154639,165
79,0,0,G,SFP,ADS,Mission Planning,G,5,1984,fortran,54,0,0,54,409,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1,1,0.93,1.11,1/15/84,12/15/85,54,60,0,0,0,0,0,6.601466993,60
80,0,0,G,SFP,DDS,Mission Planning,G,5,1984,fortran77,90,0,0,90,703,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1,1,0.93,1.11,1/15/84,12/15/85,90,100,0,0,0,0,0,6.40113798,100
